#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2021 09 12 00 26 999 99.0 99.0  1.01 11.76  6.21 116 9999.0 999.0  17.9 999.0 99.0 99.00
2021 09 12 00 56 999 99.0 99.0  1.16 12.50  6.17 114 9999.0 999.0  17.8 999.0 99.0 99.00
2021 09 12 01 26 999 99.0 99.0  1.08 11.76  5.54 123 9999.0 999.0  17.7 999.0 99.0 99.00
2021 09 12 01 56 999 99.0 99.0  1.14 12.50  5.66 114 9999.0 999.0  17.7 999.0 99.0 99.00
2021 09 12 02 26 999 99.0 99.0  1.04 11.76  5.01 114 9999.0 999.0  17.7 999.0 99.0 99.00
2021 09 12 02 56 999 99.0 99.0  1.04 11.76  4.76 124 9999.0 999.0  17.7 999.0 99.0 99.00
2021 09 12 03 26 999 99.0 99.0  1.07  4.55  4.52 173 9999.0 999.0  17.7 999.0 99.0 99.00
2021 09 12 03 56 999 99.0 99.0  1.14 11.76  4.83 123 9999.0 999.0  17.6 999.0 99.0 99.00
2021 09 12 04 26 999 99.0 99.0  1.10 11.11  4.50 124 9999.0 999.0  17.6 999.0 99.0 99.00
2021 09 12 04 56 999 99.0 99.0  1.08 11.11  4.51 116 9999.0 999.0  17.5 999.0 99.0 99.00
2021 09 12 05 26 999 99.0 99.0  1.18 11.11  4.69 133 9999.0 999.0  17.4 999.0 99.0 99.00
2021 09 12 05 56 999 99.0 99.0  1.15  4.35  4.42 192 9999.0 999.0  17.4 999.0 99.0 99.00
2021 09 12 06 26 999 99.0 99.0  1.09 10.53  4.58 134 9999.0 999.0  17.5 999.0 99.0 99.00
2021 09 12 06 56 999 99.0 99.0  1.15  9.88  4.71 131 9999.0 999.0  17.4 999.0 99.0 99.00
2021 09 12 07 26 999 99.0 99.0  1.04 11.11  4.66 120 9999.0 999.0  17.4 999.0 99.0 99.00
