h,chunk_mean,Hsig,S,A,WavePeriods,WaveHeights,dPddz_W50,,,,dPddt_W50,dPddt_W50N,S_W50,Hoverh,dPddz_WM50,dPddzcrit
1.1437,'11-Sep-2021 04:39:59',0.76178,0.35374,1.1462,15.5528,0.66503,1.5219,1.5562,1.1927,1.0979,0.91433,6.3304,0.16493,0.58145,1.6974,
1.0253,'11-Sep-2021 04:49:59',0.69999,0.36197,1.012,14.7016,0.59846,1.3649,1.4104,1.229,1.1337,0.85761,6.2155,0.16254,0.58367,1.5104,
0.92412,'11-Sep-2021 04:59:59',0.70168,0.38802,0.99018,15.5195,0.56727,1.2902,1.3669,1.226,1.1954,0.80531,6.7255,0.15753,0.61384,1.3848,
0.77796,'11-Sep-2021 05:10:00',0.58218,0.2851,0.84199,14.2622,0.49375,1.2885,1.373,1.2249,1.1341,0.74482,6.9953,0.15909,0.63467,1.4317,
0.67527,'11-Sep-2021 05:19:59',0.56979,0.19445,0.85456,14.6453,0.46098,1.312,1.4122,1.2262,1.1169,0.69947,7.3205,0.16074,0.68267,1.4908,
0.55968,'11-Sep-2021 05:29:59',0.52122,0.47881,0.62658,15.0075,0.42826,1.3009,1.3998,1.239,1.1039,0.66235,7.0724,0.16291,0.76519,1.4393,
0.43345,'11-Sep-2021 05:39:59',0.5189,-0.10077,0.62699,16.8431,0.40197,1.4267,1.4056,1.2332,1.0889,0.58312,8.0637,0.16189,0.92738,1.5396,
0.34731,'11-Sep-2021 05:50:00',0.46874,0.18466,0.16155,22.4429,0.38253,1.5016,1.3605,1.2587,1.0857,0.57625,9.3677,0.18717,1.1014,1.5237,
0.22797,'11-Sep-2021 06:00:00',0.38578,0.48672,0.31748,25.0438,0.31452,1.4213,1.5366,1.1923,1.0755,0.48535,8.0208,0.17403,1.3797,1.5744,
0.10221,'11-Sep-2021 06:10:00',0.3198,0.86468,0.55156,34.4567,0.26081,1.7602,1.4498,1.1853,1.065,0.41272,19.6457,0.17634,2.5516,1.8039,
0.0097503,'11-Sep-2021 06:20:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.00040746,'11-Sep-2021 06:29:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-0.00071872,'11-Sep-2021 06:40:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.00139,'11-Sep-2021 06:50:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0041777,'11-Sep-2021 06:59:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0070721,'11-Sep-2021 07:09:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0093787,'11-Sep-2021 07:19:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.011158,'11-Sep-2021 07:30:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.011803,'11-Sep-2021 07:40:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.012555,'11-Sep-2021 07:49:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.01192,'11-Sep-2021 08:00:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.011516,'11-Sep-2021 08:10:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0089367,'11-Sep-2021 08:19:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0066849,'11-Sep-2021 08:29:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0054574,'11-Sep-2021 08:39:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0053319,'11-Sep-2021 08:49:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0054919,'11-Sep-2021 09:00:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0088129,'11-Sep-2021 09:10:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.011257,'11-Sep-2021 09:20:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.012543,'11-Sep-2021 09:30:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.012243,'11-Sep-2021 09:39:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.013473,'11-Sep-2021 09:50:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.012563,'11-Sep-2021 09:59:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.015437,'11-Sep-2021 10:10:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.019704,'11-Sep-2021 10:20:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.019413,'11-Sep-2021 10:29:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.020184,'11-Sep-2021 10:39:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.021672,'11-Sep-2021 10:50:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.02152,'11-Sep-2021 10:59:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.013491,'11-Sep-2021 11:09:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.014177,'11-Sep-2021 11:19:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.10101,'11-Sep-2021 11:29:59',0.29021,0.55747,0.6705,35.1464,0.23609,1.7601,1.3855,1.1773,1.0666,0.44653,22.492,0.18128,2.3373,1.7601,
0.22868,'11-Sep-2021 11:39:59',0.36666,0.43652,0.22431,22.6656,0.29875,1.6783,1.4099,1.2076,1.0729,0.49964,9.0656,0.17734,1.3064,1.7102,
0.33554,'11-Sep-2021 11:50:00',0.40615,0.32788,0.80101,16.0235,0.32623,1.2985,1.3972,1.2043,1.0801,0.55314,7.8761,0.16645,0.97226,1.4837,
0.46311,'11-Sep-2021 12:00:00',0.47007,0.2973,0.94218,15.9482,0.37089,1.2716,1.4158,1.2225,1.0889,0.63127,8.4976,0.16803,0.80087,1.466,
0.57804,'11-Sep-2021 12:09:59',0.44666,0.21449,0.73413,14.5762,0.37761,1.282,1.3743,1.2012,1.0852,0.68339,7.7358,0.16445,0.65325,1.43,
