h,chunk_mean,Hsig,S,A,WavePeriods,WaveHeights,dPddz_W50,,,,dPddt_W50,dPddt_W50N,S_W50,Hoverh,dPddz_WM50,dPddzcrit
0.64367,'12-Sep-2021 01:09:59',0.53243,0.29924,0.82064,28.0732,0.46282,1.2858,1.3529,1.2918,1.1049,0.83585,10.1769,0.19217,0.71904,1.3785,
0.76278,'12-Sep-2021 01:19:59',0.54623,0.46331,0.74798,17.5541,0.4527,1.2328,1.2681,1.2172,1.096,0.66641,6.1246,0.14348,0.59349,1.3364,
0.86955,'12-Sep-2021 01:30:00',0.59227,0.38307,0.52742,21.7199,0.50818,1.193,1.355,1.2485,1.0956,0.74795,6.3539,0.14863,0.58442,1.3799,
0.97588,'12-Sep-2021 01:40:00',0.58807,0.34626,0.44506,22.0213,0.49595,1.1493,1.3217,1.1841,1.0711,0.57573,5.5244,0.11011,0.50821,1.3217,
1.0674,'12-Sep-2021 01:50:00',0.60816,0.2661,0.45797,30.8591,0.46836,1.1238,1.1358,1.1721,1.0659,0.44382,4.651,0.080631,0.43877,1.2303,
1.1509,'12-Sep-2021 01:59:59',0.68609,0.43024,0.45566,29.7626,0.56133,1.1397,1.2345,1.1937,1.0715,0.58593,7.3071,0.10211,0.48773,1.2378,
1.2392,'12-Sep-2021 02:09:59',0.63492,0.60499,0.45741,20.548,0.49329,1.1001,1.1466,1.1757,1.0656,0.41961,4.4332,0.07196,0.39808,1.1861,
1.3223,'12-Sep-2021 02:20:00',0.66581,0.49586,0.64362,22.9713,0.53747,1.1077,1.2197,1.1756,1.0652,0.4411,4.6109,0.072634,0.40647,1.2216,
1.38,'12-Sep-2021 02:30:00',0.66063,0.42546,0.58953,21.6483,0.51653,1.1049,1.1662,1.1691,1.0614,0.43217,4.047,0.069562,0.37429,1.2074,
1.4434,'12-Sep-2021 02:40:00',0.63081,0.37962,0.39952,23.287,0.4815,1.085,1.179,1.1659,1.0631,0.41657,4.0925,0.065639,0.33358,1.1907,
1.4861,'12-Sep-2021 02:49:59',0.53776,0.40886,0.37,16.8391,0.44185,1.0741,1.127,1.1336,1.0514,0.36054,3.2004,0.055739,0.29733,1.1479,
1.5278,'12-Sep-2021 02:59:59',0.59277,0.35005,0.6317,20.1367,0.47927,1.0918,1.1352,1.1433,1.0572,0.36575,3.2107,0.056149,0.3137,1.166,
1.5625,'12-Sep-2021 03:10:00',0.57935,0.3748,0.38342,19.4124,0.45216,1.0783,1.1179,1.1228,1.0496,0.3491,3.2685,0.052817,0.28938,1.1413,
1.5848,'12-Sep-2021 03:19:59',0.64776,0.54234,0.63857,17.3965,0.51814,1.0857,1.1779,1.1352,1.0519,0.41865,3.2077,0.063324,0.32694,1.1901,
1.584,'12-Sep-2021 03:29:59',0.53803,0.41491,0.37425,16.9707,0.43272,1.0625,1.1131,1.1301,1.0519,0.31537,2.664,0.047568,0.27319,1.1467,
1.5919,'12-Sep-2021 03:40:00',0.5417,0.33175,0.35008,20.4461,0.44581,1.0728,1.0975,1.1407,1.0561,0.34752,3.0788,0.052619,0.28006,1.1511,
1.5849,'12-Sep-2021 03:50:00',0.5782,0.32478,0.6031,15.6781,0.45278,1.0678,1.0953,1.1284,1.0501,0.31899,2.5379,0.048217,0.28569,1.142,
1.5653,'12-Sep-2021 04:00:00',0.53151,0.29224,0.51639,16.505,0.39791,1.0607,1.0862,1.1173,1.0452,0.28585,2.772,0.043429,0.25421,1.1289,
1.5357,'12-Sep-2021 04:10:00',0.54118,0.29557,0.52048,22.9168,0.44499,1.074,1.1179,1.1197,1.0467,0.30536,2.9865,0.046935,0.28977,1.1447,
1.4967,'12-Sep-2021 04:20:00',0.56399,0.36792,0.52972,16.4553,0.42989,1.064,1.1158,1.1314,1.0494,0.31495,2.8656,0.048818,0.28722,1.1506,
1.4457,'12-Sep-2021 04:30:00',0.66282,0.5241,0.85969,14.7059,0.4751,1.0821,1.1289,1.144,1.0535,0.35516,3.0851,0.056203,0.32862,1.1651,
1.4003,'12-Sep-2021 04:40:00',0.67632,0.81723,0.71562,15.6346,0.52166,1.0928,1.1693,1.1456,1.0547,0.4065,2.9292,0.065396,0.37254,1.174,
1.3385,'12-Sep-2021 04:49:59',0.58908,0.44605,0.69593,15.6026,0.47145,1.0916,1.1606,1.1449,1.0541,0.41047,3.0894,0.067598,0.35224,1.1839,
1.266,'12-Sep-2021 04:59:59',0.62887,0.421,0.76058,18.4462,0.4902,1.1059,1.1696,1.1531,1.0584,0.44552,3.6113,0.075786,0.38719,1.1932,
1.1904,'12-Sep-2021 05:09:59',0.62734,0.47011,0.687,17.8593,0.4944,1.0998,1.1641,1.1711,1.0681,0.45191,3.568,0.079635,0.41531,1.2065,
1.1088,'12-Sep-2021 05:20:00',0.55302,0.3839,0.59679,16.3985,0.44999,1.0918,1.1734,1.1541,1.058,0.41552,3.4599,0.074509,0.40584,1.1866,
1.0172,'12-Sep-2021 05:30:00',0.57578,0.33908,0.77729,24.4155,0.50552,1.1358,1.2562,1.208,1.0737,0.64376,4.3739,0.12166,0.49697,1.2596,
0.91897,'12-Sep-2021 05:40:00',0.5769,0.49981,1.014,16.5327,0.49253,1.1935,1.2566,1.2299,1.0875,0.68954,5.4863,0.13607,0.53595,1.2899,
0.8197,'12-Sep-2021 05:50:00',0.58023,0.62387,0.85551,15.4656,0.47078,1.1733,1.2299,1.2212,1.0837,0.66452,5.0339,0.13773,0.57433,1.2768,
0.71374,'12-Sep-2021 05:59:59',0.49249,0.33021,0.85148,17.1584,0.4202,1.2039,1.2517,1.2461,1.1242,0.70396,6.6135,0.15842,0.58873,1.3022,
0.61049,'12-Sep-2021 06:10:00',0.47945,0.48484,1.0024,17.4844,0.41363,1.217,1.2988,1.2493,1.1111,0.68528,6.7043,0.1682,0.67754,1.3595,
0.50821,'12-Sep-2021 06:20:00',0.41939,0.41043,1.033,18.4483,0.35324,1.2426,1.2706,1.2547,1.0916,0.64091,7.1244,0.17053,0.69506,1.3089,
0.38585,'12-Sep-2021 06:30:00',0.39065,0.39941,0.77872,20.8935,0.33583,1.2312,1.3219,1.262,1.0861,0.57895,8.5538,0.1702,0.87038,1.3467,
0.28629,'12-Sep-2021 06:40:00',0.31018,0.27841,0.80918,16.6181,0.2668,1.3001,1.2662,1.2426,1.079,0.50684,7.6501,0.17685,0.93195,1.3603,
0.17934,'12-Sep-2021 06:49:59',0.29233,0.93771,0.72259,26.8589,0.22959,1.4661,1.3131,1.2338,1.0681,0.4166,10.4429,0.1835,1.2802,1.5019,
0.015654,'12-Sep-2021 07:00:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.011911,'12-Sep-2021 07:09:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
