dt2,Pd2,,,,,,,,Pd_hydro2,,,,,,,,sensorselev,,,,,,,,dtSliceW1,dtSlice_indexW1,dtSliceW2,dtSlice_indexW2,dtSliceW3,dtSlice_indexW3,dtSliceW4,dtSlice_indexW4,dPddz2,,,,,,,dPddt2,Pe,,,,,,,,dPddzcrit
'11/09/2021 02:33:00.78',1.3113,1.415,1.4451,1.4857,1.5336,1.6853,1.8347,1.9765,1.2567,1.3567,1.4197,1.4822,1.5447,1.6447,1.7977,1.9507,,,,,,,,,,,,,,,,,1.139,0.16489,1.298,0.81779,1.2086,1.0109,1.016,-0.083793,0.054599214,0.058374461,0.025437018,0.0035,-0.011044434,0.040582461,0.036986648,0.025810713,
'11/09/2021 02:33:00.83',1.309,1.4268,1.4405,1.4913,1.5286,1.679,1.8311,1.9729,1.2623,1.3623,1.4253,1.4878,1.5503,1.6503,1.8033,1.9563,,,,,,,,,,,,,,,,,1.2793,-0.096065,1.4619,0.64594,1.1967,1.0284,1.0156,-0.071516,0.046643172,0.064440944,0.015193613,0.0035,-0.021785092,0.028648396,0.027737748,0.016512088,
'11/09/2021 02:33:00.89',1.3133,1.4286,1.4438,1.4883,1.5216,1.6775,1.8268,1.9692,1.2593,1.3593,1.4223,1.4848,1.5473,1.6473,1.8003,1.9533,,,,,,,,,,,,,,,,,1.2544,-0.072197,1.3601,0.58388,1.2514,1.0102,1.0199,-0.07371,0.054002511,0.06931402,0.021558447,0.0035,-0.025663663,0.030239605,0.026544342,0.01596511,
'11/09/2021 02:33:00.95',1.3052,1.4268,1.423,1.471,1.5227,1.675,1.8233,1.9652,1.242,1.342,1.405,1.4675,1.53,1.63,1.783,1.936,,,,,,,,,,,,,,,,,1.3171,-0.37612,1.4158,0.87825,1.2156,1.0037,1.0166,-0.09124,0.063251411,0.084828304,0.018077679,0.0035,-0.007265314,0.045057735,0.040367966,0.029291482,
'11/09/2021 02:33:01.00',1.3063,1.4212,1.4267,1.4614,1.5147,1.6699,1.8216,1.963,1.2324,1.3324,1.3954,1.4579,1.5204,1.6204,1.7734,1.9264,,,,,,,,,,,,,,,,,1.2504,-0.22814,1.2041,0.90371,1.2444,1.0258,1.0127,-0.11623,0.073892618,0.088806325,0.0313046,0.0035,-0.005674105,0.049533009,0.048224558,0.036551371,
'11/09/2021 02:33:01.06',1.2957,1.4158,1.4176,1.4583,1.5009,1.6636,1.8183,1.9588,1.2293,1.3293,1.3923,1.4548,1.5173,1.6173,1.7703,1.9233,,,,,,,,,,,,,,,,,1.3031,-0.2886,1.3012,0.73186,1.319,1.0459,1.0069,-0.13605,0.066334378,0.086518963,0.025238117,0.0035,-0.016414763,0.046251141,0.048025657,0.035457415,
'11/09/2021 02:33:01.12',1.2928,1.4076,1.4037,1.4643,1.501,1.6575,1.8136,1.9552,1.2353,1.3353,1.3983,1.4608,1.5233,1.6233,1.7763,1.9293,,,,,,,,,,,,,,,,,1.2494,-0.37771,1.6179,0.63798,1.2574,1.0544,1.0147,-0.13956,0.05748328,0.072297536,0.005447461,0.0035,-0.022282345,0.034217626,0.037284999,0.025910163,
'11/09/2021 02:33:01.17',1.2943,1.4183,1.3892,1.4631,1.4981,1.6558,1.809,1.9514,1.2341,1.3341,1.3971,1.4596,1.5221,1.6221,1.7751,1.9281,,,,,,,,,,,,,,,,,1.3419,-0.78188,1.8311,0.61093,1.2693,1.0356,1.0199,-0.12253,0.060168444,0.084231601,-0.007878911,0.0035,-0.023973004,0.033720374,0.033903681,0.023324449,
'11/09/2021 02:33:01.23',1.2869,1.408,1.3958,1.4395,1.5001,1.6523,1.8037,1.9479,1.2105,1.3105,1.3735,1.436,1.4985,1.5985,1.7515,1.9045,,,,,,,,,,,,,,,,,1.3121,-0.51137,1.3489,1.0199,1.2146,1.0239,1.0312,-0.0898,0.076378882,0.097458522,0.022254601,0.0035,0.001585784,0.053809382,0.05220258,0.043363732,
'11/09/2021 02:33:01.29',1.2846,1.3877,1.3999,1.424,1.491,1.649,1.8013,1.9444,1.195,1.295,1.358,1.4205,1.483,1.583,1.736,1.889,,,,,,,,,,,,,,,,,1.1321,-0.12152,1.0355,1.1217,1.2723,1.0304,1.0238,-0.053034,0.089605803,0.092684896,0.041846357,0.0035,0.007950618,0.065942347,0.065330051,0.055347522,
