dt2,Pd2,,,,,,,,Pd_hydro2,,,,,,,,sensorselev,,,,,,,,dtSliceW1,dtSlice_indexW1,dtSliceW2,dtSlice_indexW2,dtSliceW3,dtSlice_indexW3,dtSliceW4,dtSlice_indexW4,dPddz2,,,,,,,dPddt2,Pe,,,,,,,,dPddzcrit
'11/09/2021 02:33:14.75',1.384,1.5063,1.5208,1.5572,1.6087,1.7622,1.908,2.0461,1.3282,1.4282,1.4912,1.5537,1.6162,1.7162,1.8692,2.0222,,,,,,,,,,,,,,,,,1.325,-0.084927,1.2312,0.87507,1.2275,0.98687,0.99195,-0.036592,0.055792621,0.078165118,0.029613941,0.0035,-0.007464215,0.04605224,0.038776757,0.023921153,
'11/09/2021 02:33:14.81',1.3845,1.5105,1.5084,1.5666,1.6034,1.7615,1.9055,2.0445,1.3376,1.4376,1.5006,1.5631,1.6256,1.7256,1.8786,2.0316,,,,,,,,,,,,,,,,,1.3618,-0.35066,1.5813,0.63957,1.2733,0.97518,0.99779,-0.036358,0.046842073,0.07289424,0.007734823,0.0035,-0.022182894,0.035908285,0.026842693,0.012882143,
'11/09/2021 02:33:14.86',1.3853,1.5087,1.5115,1.5555,1.6059,1.7609,1.9041,2.0427,1.3265,1.4265,1.4895,1.552,1.6145,1.7145,1.8675,2.0205,,,,,,,,,,,,,,,,,1.3359,-0.2711,1.3521,0.85757,1.2424,0.96999,0.99519,-0.034468,0.058776137,0.08224259,0.0220557,0.0035,-0.008558171,0.046450042,0.036588846,0.022230494,
'11/09/2021 02:33:14.92',1.3852,1.5158,1.5121,1.5615,1.5951,1.7573,1.9027,2.041,1.3325,1.4325,1.4955,1.558,1.6205,1.7205,1.8735,2.0265,,,,,,,,,,,,,,,,,1.4076,-0.37453,1.438,0.58865,1.314,0.98492,0.99325,-0.030811,0.052709654,0.083336546,0.016685371,0.0035,-0.025365312,0.03680334,0.029229506,0.014572802,
'11/09/2021 02:33:14.98',1.384,1.5117,1.511,1.5604,1.5903,1.758,1.9005,2.0392,1.3314,1.4314,1.4944,1.5569,1.6194,1.7194,1.8724,2.0254,,,,,,,,,,,,,,,,,1.3787,-0.32679,1.438,0.52978,1.3687,0.96609,0.99584,-0.025938,0.052610204,0.08035303,0.016685371,0.0035,-0.029044981,0.03859345,0.02813555,0.013876649,
'11/09/2021 02:33:15.03',1.3796,1.5079,1.4972,1.5482,1.5973,1.7554,1.8996,2.0371,1.3192,1.4192,1.4822,1.5447,1.6072,1.7072,1.8602,2.0132,,,,,,,,,,,,,,,,,1.3847,-0.4875,1.4651,0.83529,1.2733,0.97713,0.98773,-0.021034,0.060367346,0.088706875,0.014994712,0.0035,-0.009950479,0.048140701,0.039373461,0.023871427,
'11/09/2021 02:33:15.09',1.383,1.4966,1.5057,1.5644,1.5874,1.7528,1.8958,2.035,1.3354,1.4354,1.4984,1.5609,1.6234,1.7234,1.8764,2.0294,,,,,,,,,,,,,,,,,1.2375,-0.17085,1.5892,0.41839,1.3459,0.96934,0.99844,-0.017646,0.047538226,0.061159076,0.00723757,0.0035,-0.036006519,0.02934455,0.019383903,0.005522804,
'11/09/2021 02:33:15.15',1.3843,1.5042,1.4955,1.5444,1.5867,1.7512,1.8959,2.0329,1.3154,1.4154,1.4784,1.5409,1.6034,1.7034,1.8564,2.0094,,,,,,,,,,,,,,,,,1.3001,-0.45409,1.4317,0.72709,1.3369,0.98037,0.98416,-0.01722,0.068820641,0.088706875,0.017083173,0.0035,-0.016713115,0.047742899,0.039472911,0.0234239,
'11/09/2021 02:33:15.20',1.374,1.4957,1.4937,1.549,1.5841,1.7488,1.8922,2.03,1.32,1.42,1.483,1.5455,1.608,1.708,1.861,2.014,,,,,,,,,,,,,,,,,1.318,-0.34748,1.5335,0.61252,1.3389,0.97194,0.98935,-0.020613,0.054002511,0.075678855,0.010718339,0.0035,-0.023873554,0.040781362,0.031218517,0.01596511,
'11/09/2021 02:33:15.26',1.3829,1.4899,1.4947,1.5509,1.5863,1.7467,1.8897,2.0278,1.3219,1.4219,1.4849,1.5474,1.6099,1.7099,1.8629,2.0159,,,,,,,,,,,,,,,,,1.1719,-0.23927,1.5478,0.6173,1.2961,0.96869,0.99195,-0.027726,0.060964049,0.068021163,0.009823284,0.0035,-0.023575202,0.03680334,0.026743243,0.011887638,
'11/09/2021 02:33:15.32',1.378,1.4897,1.48,1.5508,1.5909,1.7467,1.8877,2.0247,1.3218,1.4218,1.4848,1.5473,1.6098,1.7098,1.8628,2.0158,,,,,,,,,,,,,,,,,1.2186,-0.47159,1.7817,0.69208,1.2504,0.95571,0.98481,-0.037428,0.056190423,0.067921713,-0.004795945,0.0035,-0.018901027,0.036902791,0.024853682,0.008904122,
'11/09/2021 02:33:15.37',1.3709,1.4773,1.4946,1.5511,1.5907,1.7435,1.8836,2.0215,1.3221,1.4221,1.4851,1.5476,1.6101,1.7101,1.8631,2.0161,,,,,,,,,,,,,,,,,1.1649,-0.038782,1.5526,0.68413,1.2206,0.94986,0.99065,-0.047817,0.048831083,0.055192044,0.009524933,0.0035,-0.019398279,0.033422022,0.020477859,0.005423353,
'11/09/2021 02:33:15.43',1.3545,1.4687,1.4895,1.5394,1.5776,1.7408,1.8819,2.0185,1.3104,1.4104,1.4734,1.5359,1.5984,1.6984,1.8514,2.0044,,,,,,,,,,,,,,,,,1.2425,0.01691,1.4476,0.66185,1.325,0.95636,0.98156,-0.056771,0.044156908,0.058275011,0.016088668,0.0035,-0.020790587,0.042472021,0.030522363,0.01407555,
'11/09/2021 02:33:15.49',1.3601,1.4686,1.4796,1.5403,1.5769,1.7387,1.8749,2.0154,1.3113,1.4113,1.4743,1.5368,1.5993,1.6993,1.8523,2.0053,,,,,,,,,,,,,,,,,1.1858,-0.13903,1.6194,0.63639,1.3101,0.9252,1.0069,-0.06263,0.048831083,0.057280506,0.00534801,0.0035,-0.022381795,0.039389054,0.022665771,0.010097528,
'11/09/2021 02:33:15.54',1.3582,1.477,1.463,1.5342,1.5828,1.7366,1.8755,2.0127,1.3052,1.4052,1.4682,1.5307,1.5932,1.6932,1.8462,1.9992,,,,,,,,,,,,,,,,,1.2892,-0.54001,1.7881,0.82734,1.2305,0.94272,0.98546,-0.06478,0.053008006,0.071800284,-0.005193747,0.0035,-0.010447731,0.043367076,0.029328957,0.013478846,
'11/09/2021 02:33:15.60',1.3457,1.4813,1.4556,1.5314,1.5732,1.7347,1.8688,2.0091,1.3024,1.4024,1.4654,1.5279,1.5904,1.6904,1.8434,1.9964,,,,,,,,,,,,,,,,,1.4573,-0.72778,1.8629,0.71913,1.3071,0.91092,1.0062,-0.063918,0.043261853,0.078861272,-0.009867922,0.0035,-0.017210368,0.04426213,0.025350935,0.012683242,
'11/09/2021 02:33:15.66',1.3533,1.4724,1.4702,1.5222,1.5673,1.7301,1.8676,2.006,1.2932,1.3932,1.4562,1.5187,1.5812,1.6812,1.8342,1.9872,,,,,,,,,,,,,,,,,1.2922,-0.35225,1.481,0.77323,1.32,0.93299,0.99389,-0.061871,0.060168444,0.079259074,0.014000207,0.0035,-0.013829049,0.048936306,0.033406429,0.018849175,
'11/09/2021 02:33:15.71',1.3371,1.4753,1.4488,1.5304,1.5662,1.725,1.866,2.0033,1.3014,1.4014,1.4644,1.5269,1.5894,1.6894,1.8424,1.9954,,,,,,,,,,,,,,,,,1.4831,-0.7405,1.9552,0.62366,1.2802,0.95571,0.98675,-0.060983,0.035703613,0.073888745,-0.015636053,0.0035,-0.0231774,0.035609934,0.023560825,0.007909616,
'11/09/2021 02:33:15.77',1.3364,1.4656,1.4363,1.5298,1.5638,1.7164,1.8615,2,1.3008,1.4008,1.4638,1.5263,1.5888,1.6888,1.8418,1.9948,,,,,,,,,,,,,,,,,1.3926,-0.78506,2.1461,0.59343,1.2186,0.98297,0.99389,-0.063262,0.035604162,0.064739296,-0.027570117,0.0035,-0.02506696,0.02755444,0.019682255,0.005125001,
'11/09/2021 02:33:15.82',1.3285,1.4586,1.4334,1.5137,1.5505,1.7116,1.8567,1.9959,1.2847,1.3847,1.4477,1.5102,1.5727,1.6727,1.8257,1.9787,,,,,,,,,,,,,,,,,1.4026,-0.71982,1.9345,0.63957,1.3031,0.98297,0.99844,-0.069579,0.043759106,0.073888745,-0.014343196,0.0035,-0.022182894,0.038891801,0.031019616,0.017158516,
'11/09/2021 02:33:15.88',1.3343,1.4556,1.4332,1.5085,1.5495,1.7051,1.8533,1.9918,1.2795,1.3795,1.4425,1.505,1.5675,1.6675,1.8205,1.9735,,,,,,,,,,,,,,,,,1.3141,-0.67527,1.8549,0.7064,1.2484,1.0024,0.99454,-0.079226,0.054798116,0.076076657,-0.009370669,0.0035,-0.018005972,0.037598944,0.032710275,0.018252472,
'11/09/2021 02:33:15.94',1.3267,1.4533,1.4343,1.5025,1.5521,1.7015,1.8486,1.9881,1.2735,1.3735,1.4365,1.499,1.5615,1.6615,1.8145,1.9675,,,,,,,,,,,,,,,,,1.3678,-0.62116,1.7404,0.84484,1.1858,0.99595,1.001,-0.090058,0.053206907,0.079855777,-0.002210231,0.0035,-0.009353775,0.039985757,0.034102582,0.020639285,
'11/09/2021 02:33:15.99',1.3281,1.4557,1.42,1.5055,1.5395,1.6993,1.8464,1.985,1.2765,1.3765,1.4395,1.502,1.5645,1.6645,1.8175,1.9705,,,,,,,,,,,,,,,,,1.3777,-0.8869,2.0157,0.59502,1.2902,0.99595,0.99519,-0.099193,0.051615698,0.079259074,-0.019415173,0.0035,-0.024967509,0.034814329,0.028931154,0.014572802,
'11/09/2021 02:33:16.05',1.3233,1.4489,1.4294,1.5043,1.5383,1.6951,1.8432,1.9815,1.2753,1.3753,1.4383,1.5008,1.5633,1.6633,1.8163,1.9693,,,,,,,,,,,,,,,,,1.3568,-0.62753,1.847,0.59502,1.2603,1.0024,0.9926,-0.10408,0.048035479,0.073590393,-0.008873417,0.0035,-0.024967509,0.031830813,0.026942144,0.012185989,
'11/09/2021 02:33:16.11',1.3188,1.432,1.4341,1.4964,1.5352,1.6926,1.8373,1.9772,1.2674,1.3674,1.4304,1.4929,1.5554,1.6554,1.8084,1.9614,,,,,,,,,,,,,,,,,1.2325,-0.28224,1.6465,0.6714,1.2663,0.98037,1.003,-0.1035,0.051416797,0.064540395,0.003657351,0.0035,-0.020193884,0.037201142,0.028931154,0.015766209,
'11/09/2021 02:33:16.16',1.3186,1.427,1.42,1.4812,1.5266,1.6876,1.8345,1.9734,1.2522,1.3522,1.4152,1.4777,1.5402,1.6402,1.7932,1.9462,,,,,,,,,,,,,,,,,1.1848,-0.42704,1.6274,0.77642,1.3031,0.99401,0.99714,-0.098191,0.066433828,0.0747838,0.004850757,0.0035,-0.013630148,0.047444548,0.041263021,0.02720302,
'11/09/2021 02:33:16.22',1.3147,1.4265,1.4045,1.4731,1.5217,1.6788,1.8294,1.9687,1.2441,1.3441,1.4071,1.4696,1.5321,1.6321,1.7851,1.9381,,,,,,,,,,,,,,,,,1.2196,-0.66731,1.7467,0.82734,1.2633,1.0187,0.99941,-0.09065,0.0705113,0.082342041,-0.002608033,0.0035,-0.010447731,0.046648943,0.044246537,0.030534613,
'11/09/2021 02:33:16.28',1.3169,1.4275,1.4004,1.474,1.5213,1.6775,1.8244,1.964,1.245,1.345,1.408,1.4705,1.533,1.633,1.786,1.939,,,,,,,,,,,,,,,,,1.2067,-0.75005,1.8279,0.80665,1.2544,0.99466,1.001,-0.084297,0.071903608,0.082441491,-0.00768001,0.0035,-0.011740588,0.044461031,0.038378955,0.024915658,
'11/09/2021 02:33:16.33',1.3154,1.4226,1.4037,1.4717,1.5183,1.6697,1.8194,1.9592,1.2427,1.3427,1.4057,1.4682,1.5307,1.6307,1.7837,1.9367,,,,,,,,,,,,,,,,,1.1728,-0.61798,1.7372,0.79551,1.2066,1.0128,1.0023,-0.082151,0.072699212,0.079855777,-0.00201133,0.0035,-0.012436742,0.038991252,0.035693791,0.022429395,
'11/09/2021 02:33:16.39',1.3111,1.4116,1.3934,1.4662,1.4977,1.6649,1.8133,1.9533,1.2372,1.3372,1.4002,1.4627,1.5252,1.6252,1.7782,1.9312,,,,,,,,,,,,,,,,,1.1062,-0.60684,1.8136,0.55524,1.3638,1.0044,1.0043,-0.085577,0.073892618,0.074385998,-0.006784955,0.0035,-0.027453773,0.039687406,0.035097088,0.022131043,
'11/09/2021 02:33:16.45',1.3026,1.4002,1.3783,1.4638,1.4994,1.6566,1.8091,1.9483,1.2348,1.3348,1.3978,1.4603,1.5228,1.6228,1.7758,1.9288,,,,,,,,,,,,,,,,,1.0774,-0.66731,2.0172,0.62048,1.2643,1.031,0.99909,-0.093603,0.067826136,0.065435449,-0.019514624,0.0035,-0.023376301,0.033819824,0.033306978,0.019545329,
'11/09/2021 02:33:16.50',1.2937,1.39,1.3734,1.4577,1.4956,1.6492,1.8015,1.9431,1.2287,1.3287,1.3917,1.4542,1.5167,1.6167,1.7697,1.9227,,,,,,,,,,,,,,,,,1.0644,-0.58138,1.9982,0.65708,1.2275,1.0304,1.014,-0.10314,0.06494207,0.061258527,-0.018321217,0.0035,-0.021088939,0.032427517,0.03181522,0.020340933,
'11/09/2021 02:33:16.56',1.2684,1.3771,1.3813,1.4489,1.4906,1.6436,1.7975,1.9375,1.2199,1.3199,1.3829,1.4454,1.5079,1.6079,1.7609,1.9139,,,,,,,,,,,,,,,,,1.1878,-0.24882,1.7308,0.71754,1.2226,1.0401,1.0043,-0.11007,0.048532732,0.057181055,-0.001613527,0.0035,-0.017309818,0.035709384,0.036588846,0.023622801,
'11/09/2021 02:33:16.62',1.2811,1.3718,1.3749,1.4396,1.4839,1.6372,1.7881,1.9316,1.2106,1.3106,1.3736,1.4361,1.4986,1.5986,1.7516,1.9046,,,,,,,,,,,,,,,,,1.0078,-0.26632,1.6847,0.75891,1.2255,1.0206,1.027,-0.11086,0.0705113,0.061159076,0.001270538,0.0035,-0.014724104,0.03859345,0.036489395,0.027004119,
'11/09/2021 02:33:16.67',1.2705,1.3659,1.3591,1.4316,1.4793,1.6279,1.7834,1.9258,1.2026,1.3026,1.3656,1.4281,1.4906,1.5906,1.7436,1.8966,,,,,,,,,,,,,,,,,1.0555,-0.42545,1.8088,0.81461,1.1778,1.0511,1.0192,-0.10397,0.067925586,0.063346988,-0.006486604,0.0035,-0.011243335,0.037300593,0.039870713,0.029192031,
'11/09/2021 02:33:16.73',1.2681,1.3622,1.3701,1.43,1.4689,1.6216,1.7775,1.9202,1.201,1.301,1.364,1.4265,1.489,1.589,1.742,1.895,,,,,,,,,,,,,,,,,1.0426,-0.18995,1.6067,0.67299,1.2196,1.0531,1.0218,-0.090634,0.067129982,0.061258527,0.006143614,0.0035,-0.020094433,0.032626418,0.03549489,0.02521401,
'11/09/2021 02:33:16.79',1.26,1.3559,1.3649,1.4285,1.4731,1.6149,1.7709,1.9153,1.1995,1.2995,1.3625,1.425,1.4875,1.5875,1.7405,1.8935,,,,,,,,,,,,,,,,,1.0605,-0.17244,1.6672,0.76369,1.1112,1.0537,1.0328,-0.074415,0.060466796,0.056385451,0.002364494,0.0035,-0.014425753,0.02745499,0.030422912,0.021832691,
'11/09/2021 02:33:16.84',1.2483,1.3452,1.3761,1.4262,1.4642,1.6114,1.7682,1.9109,1.1972,1.2972,1.3602,1.4227,1.4852,1.5852,1.7382,1.8912,,,,,,,,,,,,,,,,,1.0704,0.17762,1.4508,0.65867,1.1639,1.0596,1.0218,-0.059866,0.051118446,0.048031606,0.015889767,0.0035,-0.020989488,0.026162133,0.03002511,0.01974423,
'11/09/2021 02:33:16.90',1.2448,1.3296,1.3793,1.4188,1.4658,1.6086,1.762,1.9072,1.1898,1.2898,1.3528,1.4153,1.4778,1.5778,1.7308,1.8838,,,,,,,,,,,,,,,,,0.94908,0.47836,1.2821,0.80188,1.1201,1.0369,1.038,-0.050658,0.054997017,0.039777211,0.026431524,0.0035,-0.01203894,0.030736858,0.031119066,0.023324449,
'11/09/2021 02:33:16.96',1.2445,1.3193,1.3795,1.417,1.4628,1.6017,1.7605,1.9037,1.188,1.288,1.351,1.4135,1.476,1.576,1.729,1.882,,,,,,,,,,,,,,,,,0.84864,0.64703,1.2487,0.78437,1.0813,1.0719,1.0251,-0.048009,0.056588225,0.031323916,0.028519985,0.0035,-0.013132896,0.025764331,0.031516868,0.021733241,
'11/09/2021 02:33:17.01',1.2401,1.3223,1.378,1.4125,1.4663,1.5984,1.7558,1.901,1.1835,1.2835,1.3465,1.409,1.4715,1.5715,1.7245,1.8775,,,,,,,,,,,,,,,,,0.92323,0.57542,1.201,0.91167,1.0137,1.0628,1.038,-0.05009,0.056588225,0.038782706,0.031503501,0.0035,-0.005176853,0.026957737,0.031317967,0.02352335,
'11/09/2021 02:33:17.07',1.2355,1.3298,1.3499,1.4099,1.464,1.5953,1.7537,1.8983,1.1809,1.2809,1.3439,1.4064,1.4689,1.5689,1.7219,1.8749,,,,,,,,,,,,,,,,,1.0446,0.005772,1.6083,0.91644,1.0048,1.07,1.0341,-0.052726,0.054599214,0.048926661,0.006044164,0.0035,-0.004878501,0.026361034,0.03181522,0.0234239,
'11/09/2021 02:33:17.13',1.2295,1.3389,1.3584,1.4064,1.4558,1.5933,1.7512,1.8956,1.1774,1.2774,1.3404,1.4029,1.4654,1.5654,1.7184,1.8714,,,,,,,,,,,,,,,,,1.1947,-0.0037752,1.4174,0.84006,1.0674,1.0667,1.0328,-0.051184,0.052112951,0.061457428,0.017978228,0.0035,-0.009652127,0.027852792,0.032809725,0.024219504,
'11/09/2021 02:33:17.18',1.2292,1.3428,1.3564,1.4051,1.4586,1.592,1.7496,1.8943,1.1761,1.2761,1.3391,1.4016,1.4641,1.5641,1.7171,1.8701,,,,,,,,,,,,,,,,,1.2375,-0.099248,1.4285,0.9069,1.0256,1.0648,1.0348,-0.042325,0.053107456,0.066728306,0.017282074,0.0035,-0.005475204,0.027852792,0.032511374,0.024219504,
'11/09/2021 02:33:17.24',1.23,1.3401,1.357,1.4058,1.4543,1.5905,1.7491,1.893,1.1768,1.2768,1.3398,1.4023,1.4648,1.5648,1.7178,1.8708,,,,,,,,,,,,,,,,,1.2017,-0.045147,1.4301,0.82574,1.0545,1.0713,1.0296,-0.026224,0.053206907,0.063247538,0.017182624,0.0035,-0.010547182,0.02566488,0.031317967,0.022230494,
'11/09/2021 02:33:17.30',1.2298,1.3391,1.3624,1.4056,1.4512,1.591,1.7472,1.8921,1.1766,1.2766,1.3396,1.4021,1.4646,1.5646,1.7176,1.8706,,,,,,,,,,,,,,,,,1.1937,0.056691,1.341,0.7796,1.0903,1.0557,1.0354,-0.0064994,0.053206907,0.062451933,0.022751854,0.0035,-0.013431247,0.026361034,0.029627308,0.021434889,
'11/09/2021 02:33:17.35',1.2239,1.3356,1.3482,1.4017,1.4531,1.5913,1.7479,1.8912,1.1727,1.2727,1.3357,1.3982,1.4607,1.5607,1.7137,1.8667,,,,,,,,,,,,,,,,,1.2186,-0.11357,1.5049,0.87189,1.0744,1.0583,1.0251,0.010882,0.051118446,0.062849736,0.012508449,0.0035,-0.007663116,0.030537956,0.034202033,0.024418405,
'11/09/2021 02:33:17.41',1.2303,1.3313,1.3506,1.4005,1.4532,1.5918,1.7436,1.8903,1.1715,1.2715,1.3345,1.397,1.4595,1.5595,1.7125,1.8655,,,,,,,,,,,,,,,,,1.1112,-0.0069577,1.4476,0.89257,1.0784,1.0265,1.0478,0.019925,0.058776137,0.059766769,0.016088668,0.0035,-0.006370259,0.032228616,0.031019616,0.024716757,
'11/09/2021 02:33:17.47',1.2349,1.3318,1.3542,1.4007,1.4514,1.5908,1.7457,1.8894,1.1717,1.2717,1.3347,1.3972,1.4597,1.5597,1.7127,1.8657,,,,,,,,,,,,,,,,,1.0704,0.04237,1.3935,0.86075,1.0863,1.0466,1.0283,0.017127,0.063151961,0.060065121,0.019469986,0.0035,-0.00835927,0.031035209,0.032909176,0.023622801,
'11/09/2021 02:33:17.52',1.2344,1.3332,1.3512,1.4091,1.453,1.5903,1.7455,1.8899,1.1801,1.2801,1.3431,1.4056,1.4681,1.5681,1.7211,1.8741,,,,,,,,,,,,,,,,,1.0893,-0.027643,1.5749,0.75255,1.0654,1.0485,1.0328,0.0031266,0.054300863,0.053103583,0.008132625,0.0035,-0.015121906,0.022184111,0.02435643,0.015766209,
'11/09/2021 02:33:17.58',1.2303,1.3321,1.354,1.4078,1.4504,1.5893,1.7462,1.8884,1.1788,1.2788,1.3418,1.4043,1.4668,1.5668,1.7198,1.8728,,,,,,,,,,,,,,,,,1.1191,0.034414,1.5097,0.73186,1.0813,1.0602,1.0179,-0.017286,0.051516248,0.053302484,0.012210097,0.0035,-0.016414763,0.022482463,0.026444891,0.015567308,
'11/09/2021 02:33:17.64',1.23,1.3328,1.3496,1.4077,1.4439,1.5908,1.7466,1.8882,1.1787,1.2787,1.3417,1.4042,1.4667,1.5667,1.7197,1.8727,,,,,,,,,,,,,,,,,1.1291,-0.046738,1.5781,0.63003,1.1609,1.0531,1.014,-0.036905,0.051317347,0.054098088,0.007933724,0.0035,-0.022779598,0.024073672,0.026942144,0.015467857,
'11/09/2021 02:33:17.69',1.2271,1.3307,1.3398,1.3988,1.4461,1.5916,1.7449,1.8879,1.1698,1.2698,1.3328,1.3953,1.4578,1.5578,1.7108,1.8638,,,,,,,,,,,,,,,,,1.137,-0.17085,1.5924,0.80824,1.147,1.0362,1.0238,-0.048953,0.057383829,0.060960175,0.007038669,0.0035,-0.011641138,0.033819824,0.034102582,0.024120054,
'11/09/2021 02:33:17.75',1.2238,1.3284,1.3407,1.3964,1.4448,1.5901,1.742,1.8861,1.1674,1.2674,1.3304,1.3929,1.4554,1.5554,1.7084,1.8614,,,,,,,,,,,,,,,,,1.148,-0.11993,1.5399,0.82574,1.145,1.0271,1.0309,-0.04988,0.056389324,0.061059626,0.010320537,0.0035,-0.010547182,0.034714879,0.03360533,0.024716757,
'11/09/2021 02:33:17.80',1.2268,1.3245,1.3429,1.3951,1.4398,1.5886,1.7407,1.8846,1.1661,1.2661,1.3291,1.3916,1.4541,1.5541,1.7071,1.8601,,,,,,,,,,,,,,,,,1.0784,-0.02287,1.4842,0.76687,1.1798,1.0284,1.0296,-0.040901,0.060765148,0.058473912,0.013801306,0.0035,-0.014226852,0.034515978,0.03360533,0.024517856,
'11/09/2021 02:33:17.86',1.2248,1.3221,1.3415,1.3941,1.4293,1.5885,1.739,1.8831,1.1651,1.2651,1.3281,1.3906,1.4531,1.5531,1.7061,1.8591,,,,,,,,,,,,,,,,,1.0744,-0.0053664,1.4906,0.61411,1.2842,1.018,1.0309,-0.027545,0.059671192,0.056982154,0.013403503,0.0035,-0.023774103,0.035411033,0.032909176,0.024020603,
'11/09/2021 02:33:17.92',1.2201,1.3175,1.3399,1.3924,1.4326,1.5818,1.7381,1.8811,1.1634,1.2634,1.3264,1.3889,1.4514,1.5514,1.7044,1.8574,,,,,,,,,,,,,,,,,1.0754,0.04237,1.489,0.69367,1.1848,1.0557,1.0238,-0.017307,0.056687676,0.054098088,0.013502954,0.0035,-0.018801576,0.030438506,0.03370478,0.023722252,
'11/09/2021 02:33:17.97',1.2209,1.3161,1.3483,1.3986,1.4339,1.5793,1.735,1.8785,1.1696,1.2696,1.3326,1.3951,1.4576,1.5576,1.7106,1.8636,,,,,,,,,,,,,,,,,1.0535,0.1999,1.4524,0.6157,1.147,1.0518,1.027,-0.016327,0.051317347,0.046539848,0.015790316,0.0035,-0.023674652,0.021786309,0.02445588,0.014970604,
'11/09/2021 02:33:18.03',1.2159,1.3116,1.3426,1.394,1.4364,1.5774,1.7342,1.8773,1.165,1.265,1.328,1.3905,1.453,1.553,1.706,1.859,,,,,,,,,,,,,,,,,1.0585,0.17921,1.4715,0.72868,1.1022,1.0596,1.0244,-0.026487,0.050919545,0.046639298,0.01459691,0.0035,-0.016613664,0.024372023,0.028235001,0.018351923,
'11/09/2021 02:33:18.09',1.2059,1.3146,1.3415,1.3856,1.4308,1.5732,1.7291,1.8742,1.1566,1.2566,1.3196,1.3821,1.4446,1.5446,1.6976,1.8506,,,,,,,,,,,,,,,,,1.1888,0.11397,1.3553,0.77323,1.1161,1.0537,1.0374,-0.044255,0.049228886,0.057976659,0.021856799,0.0035,-0.013829049,0.028548946,0.031516868,0.023622801,
'11/09/2021 02:33:18.14',1.2066,1.3092,1.344,1.3846,1.4231,1.5719,1.7278,1.8727,1.1556,1.2556,1.3186,1.3811,1.4436,1.5436,1.6966,1.8496,,,,,,,,,,,,,,,,,1.1281,0.23968,1.2996,0.66662,1.1798,1.0537,1.0354,-0.061861,0.050919545,0.053600836,0.025337568,0.0035,-0.020492235,0.028250594,0.031218517,0.023026098,
'11/09/2021 02:33:18.20',1.2007,1.2916,1.3304,1.3802,1.4256,1.5686,1.727,1.8716,1.1512,1.2512,1.3142,1.3767,1.4392,1.5392,1.6922,1.8452,,,,,,,,,,,,,,,,,1.0107,0.30492,1.4444,0.77801,1.1221,1.0693,1.0345,-0.070448,0.049527237,0.040473365,0.016287569,0.0035,-0.013530698,0.029444001,0.034798736,0.026457141,
'11/09/2021 02:33:18.26',1.2068,1.299,1.3364,1.3827,1.4238,1.5667,1.725,1.8706,1.1537,1.2537,1.3167,1.3792,1.4417,1.5417,1.6947,1.8477,,,,,,,,,,,,,,,,,1.0227,0.28264,1.3903,0.70799,1.1211,1.0687,1.0406,-0.063922,0.053107456,0.045246991,0.019668887,0.0035,-0.017906521,0.024968726,0.030224011,0.022827197,
'11/09/2021 02:33:18.31',1.1953,1.2929,1.3293,1.3784,1.431,1.5644,1.7231,1.8684,1.1494,1.2494,1.3124,1.3749,1.4374,1.5374,1.6904,1.8434,,,,,,,,,,,,,,,,,1.0774,0.26673,1.4333,0.89257,1.0266,1.0713,1.0387,-0.041802,0.045947018,0.043556332,0.016983723,0.0035,-0.006370259,0.027057188,0.032710275,0.025015109,
'11/09/2021 02:33:18.37',1.2018,1.2878,1.3274,1.3788,1.4256,1.5613,1.7199,1.8683,1.1498,1.2498,1.3128,1.3753,1.4378,1.5378,1.6908,1.8438,,,,,,,,,,,,,,,,,0.96102,0.31765,1.4715,0.80028,1.0495,1.0706,1.0588,-0.0097391,0.052013501,0.037987102,0.01459691,0.0035,-0.01213839,0.023576419,0.029130055,0.024517856,
'11/09/2021 02:33:18.43',1.2005,1.2922,1.3331,1.3763,1.4224,1.5602,1.7244,1.8701,1.1473,1.2473,1.3103,1.3728,1.4353,1.5353,1.6883,1.8413,,,,,,,,,,,,,,,,,1.0187,0.33833,1.3394,0.78915,1.0704,1.107,1.0413,0.022767,0.053206907,0.044948639,0.022851304,0.0035,-0.012834544,0.024968726,0.036091593,0.028794229,
'11/09/2021 02:33:18.48',1.2046,1.2873,1.3354,1.3779,1.424,1.5612,1.7221,1.8704,1.1489,1.2489,1.3119,1.3744,1.4369,1.5369,1.6899,1.8429,,,,,,,,,,,,,,,,,0.9282,0.45449,1.3283,0.78915,1.0644,1.0855,1.0582,0.046663,0.05569317,0.038384904,0.023547458,0.0035,-0.012834544,0.024372023,0.032213022,0.027501372,
'11/09/2021 02:33:18.54',1.2051,1.2839,1.3362,1.3773,1.431,1.5616,1.7265,1.8737,1.1483,1.2483,1.3113,1.3738,1.4363,1.5363,1.6893,1.8423,,,,,,,,,,,,,,,,,0.88941,0.52132,1.306,0.91008,0.99879,1.1115,1.051,0.057961,0.056787126,0.035600289,0.024939766,0.0035,-0.005276303,0.025366529,0.037185549,0.031379943,
