dPddzcrit,WaveHeightsWbW,WavePeriodsWbW,HoverhWbW,dPddt_W,dPddz_WM,dPddz_W,,,,,,,S_W,hW,PercentLiq_Hh,,,,,PercentLiq_S,,,,dPddt_WO,dPddt_WN,dPddt_WON,S_WO
1.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44085,8.5752,14.4109,13.0734,32.716,0.69324,10.2663,23.6256,33.3333,NaN,NaN,NaN,NaN
2.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2939,10.8839,17.1373,17.4312,31.4815,1.2132,13.9467,22.2883,39.3939,NaN,NaN,NaN,NaN
,0.36404,7.6411,0.40726,0.39577,1.1932,1.5614,1.9661,2.3955,1.0057,1.1932,1.1317,1.0458,0.083155,0.89388,,,,,,,,,,0.14968,2.6442,1,0.030638
,0.39541,11.7729,0.50679,0.3872,1.3792,1.4381,1.8913,2.0963,0.89268,1.3792,1.1466,1.0474,0.08098,0.78024,,,,,,,,,,0.10552,3.6696,1,0.023118
,0.35567,11.6031,0.40781,0.36661,1.2668,1.4858,1.7163,2.0311,1.1027,1.2668,1.0973,1.0377,0.078226,0.87216,,,,,,,,,,0.0963,3.8069,1,0.019956
,0.61626,16.0746,0.7227,0.82799,1.5294,1.8995,1.7974,2.4336,1.3032,1.5294,1.5206,1.3545,0.1772,0.85273,,,,,,,,,,0.12044,6.8746,1,0.025242
,0.54719,18.7914,0.6952,0.83461,1.4767,1.6081,1.9231,2.3684,1.2284,1.4767,1.3278,1.1337,0.17596,0.78709,,,,,,,,,,0.09148,9.1233,1,0.019955
,0.44232,9.8485,0.54304,0.78273,1.3407,1.5077,1.7354,2.1886,0.89268,1.235,1.3407,1.2084,0.16432,0.81452,,,,,,,,,,0.1411,5.5475,1,0.030256
,0.30113,16.018,0.32171,0.37687,1.1823,1.5126,1.772,2.2745,1.1123,1.1823,1.1389,1.0438,0.077721,0.93602,,,,,,,,,,0.059061,6.381,1,0.011814
,0.56917,11.9427,0.681,0.49668,1.5035,1.6161,1.7863,2.4734,1.0184,1.5035,1.257,1.0786,0.10319,0.83578,,,,,,,,,,0.14972,3.3173,1,0.031695
,0.45017,14.886,0.50628,0.72006,1.5562,1.5405,1.6128,2.4909,1.0057,1.5562,1.5212,1.2506,0.15043,0.88917,,,,,,,,,,0.095006,7.5791,1,0.019499
,0.43558,7.3015,0.53565,0.52392,1.8625,1.7722,1.5412,2.8521,0.907,1.8625,1.801,1.4434,0.10956,0.81319,,,,,,,,,,0.18742,2.7955,1,0.040221
,0.71715,38.828,0.84148,1.2003,1.6288,2.1949,1.7608,2.9826,1.6024,1.6288,1.3615,1.2792,0.25192,0.85225,,,,,,,,,,0.058025,20.6864,1,0.012164
