dPddzcrit,WaveHeightsWbW,WavePeriodsWbW,HoverhWbW,dPddt_W,dPddz_WM,dPddz_W,,,,,,,S_W,hW,PercentLiq_Hh,,,,,PercentLiq_S,,,,dPddt_WO,dPddt_WN,dPddt_WON,S_WO
1.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44085,8.5752,14.4109,13.0734,32.716,0.69324,10.2663,23.6256,33.3333,NaN,NaN,NaN,NaN
2.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2939,10.8839,17.1373,17.4312,31.4815,1.2132,13.9467,22.2883,39.3939,NaN,NaN,NaN,NaN
,0.80062,18.6782,0.56814,0.99742,1.8585,2.2008,2.0106,1.1336,1.8585,1.3693,1.135,1.1162,0.16346,1.4092,,,,,,,,,,0.13466,7.4069,1,0.021953
,0.84327,11.5465,0.56239,0.99964,1.8474,1.813,1.9136,1.3214,1.8474,1.2529,1.1836,1.1211,0.16526,1.4994,,,,,,,,,,0.22944,4.3569,1,0.036262
,0.60936,12.6785,0.47593,0.75961,1.7201,1.9273,1.9231,1.2036,1.7201,1.1425,1.1187,1.0828,0.1251,1.2804,,,,,,,,,,0.15099,5.0308,1,0.025825
,0.69046,21.0554,0.51177,0.49024,1.7153,1.5614,2.157,1.6651,1.5499,1.7153,1.0674,1.0458,0.081192,1.3491,,,,,,,,,,0.10302,4.7587,1,0.017165
,0.57619,11.4899,0.39375,0.57307,1.7758,1.4579,2.1316,1.8894,1.7758,1.5095,1.0726,1.0455,0.09406,1.4634,,,,,,,,,,0.15754,3.6376,1,0.025204
,0.88057,13.9803,0.65567,1.1526,2.328,1.6071,2.2366,1.4805,2.328,1.9202,1.2168,1.1662,0.18927,1.343,,,,,,,,,,0.19788,5.8251,1,0.033045
,0.81569,11.9993,0.56857,1.0504,1.5721,1.6628,2.1284,0.86312,1.5721,1.0888,1.2116,1.1,0.17159,1.4346,,,,,,,,,,0.21356,4.9187,1,0.034506
,0.87676,21.7912,0.62421,1.1753,1.674,2.2754,1.9645,1.2434,1.674,1.5423,1.2252,1.1214,0.19229,1.4046,,,,,,,,,,0.1264,9.2981,1,0.02064
,0.83327,13.9803,0.59712,1.1264,1.8283,1.995,2.2143,1.3946,1.8283,1.2539,1.1694,1.1019,0.18567,1.3955,,,,,,,,,,0.18725,6.0154,1,0.030676
,0.82196,13.2445,0.6258,1.2274,1.5467,1.6061,2.0997,1.3803,1.5467,1.3533,1.1434,1.1746,0.20268,1.3135,,,,,,,,,,0.19497,6.2955,1,0.032923
,0.82389,21.5082,0.61052,1.1294,1.9461,1.6012,2.1125,2.4225,1.8299,1.9461,1.2135,1.0954,0.18756,1.3495,,,,,,,,,,0.12034,9.3853,1,0.020048
,0.70394,16.3576,0.48736,0.39991,2.2673,1.631,2.3273,2.4432,1.8729,2.2673,1.1376,1.0597,0.067024,1.4444,,,,,,,,,,0.1352,2.958,1,0.02177
,0.73197,10.9239,0.53029,0.82285,1.4957,1.4639,2.2652,1.4519,1.4957,1.3673,1.2038,1.0915,0.13711,1.3803,,,,,,,,,,0.21051,3.9089,1,0.034675
,0.73793,21.7912,0.58575,1.4171,1.919,1.9254,2.48,0.93791,1.919,1.1982,1.3005,1.1519,0.23536,1.2598,,,,,,,,,,0.10639,13.3203,1,0.018343
,0.50417,11.3201,0.37212,0.27754,1.491,1.4729,2.262,1.0891,1.491,1.413,1.1142,1.0513,0.047055,1.3549,,,,,,,,,,0.13992,1.9836,1,0.023264
,0.77861,8.1505,0.54076,1.3645,1.5674,1.448,2.1889,1.3071,1.5674,1.227,1.2544,1.1019,0.22985,1.4398,,,,,,,,,,0.30011,4.5466,1,0.048403
,0.66072,14.2633,0.52027,0.80542,1.5117,1.5405,2.3718,1.1464,1.5117,1.1544,1.183,1.0961,0.13526,1.27,,,,,,,,,,0.14553,5.5345,1,0.024992
,0.66698,18.4518,0.50525,0.97221,1.4894,1.7971,2.2127,1.4932,1.4894,1.4369,1.2142,1.1,0.16319,1.3201,,,,,,,,,,0.11356,8.5612,1,0.019128
,0.73988,11.2635,0.53311,0.90118,1.8124,2.0914,2.1618,2.117,1.8124,1.4985,1.2168,1.0909,0.15071,1.3879,,,,,,,,,,0.20637,4.3669,1,0.033901
,0.93892,19.3574,0.69594,1.9131,2.3399,1.5465,2.3575,2.9603,1.6374,2.3399,1.307,1.1269,0.31658,1.3491,,,,,,,,,,0.15238,12.5546,1,0.025389
,0.67907,17.15,0.49564,0.73905,1.5323,1.8259,2.3209,1.2005,1.5323,1.0908,1.12,1.0584,0.12022,1.3701,,,,,,,,,,0.12439,5.9412,1,0.020567
,0.62255,11.6597,0.43803,0.95624,1.7583,2.1213,2.0647,1.0588,1.7583,1.3513,1.2473,1.1224,0.15584,1.4212,,,,,,,,,,0.16774,5.7007,1,0.02723
,0.72079,9.1693,0.46071,0.98765,1.5801,1.7603,2.1936,1.0652,1.5801,1.1664,1.1317,1.0773,0.16368,1.5645,,,,,,,,,,0.24696,3.9993,1,0.03821
,0.68359,14.5463,0.52041,1.0605,1.7694,2.0089,2.3543,1.0191,1.7694,1.1813,1.2031,1.1104,0.17457,1.3136,,,,,,,,,,0.14764,7.1829,1,0.024929
,0.96099,24.5646,0.71788,0.81489,1.8888,2.4713,2.2334,1.5521,1.8888,1.7004,1.0863,1.0617,0.13862,1.3386,,,,,,,,,,0.1229,6.6304,1,0.020558
,0.53491,7.9241,0.43432,0.79505,1.6199,1.6151,2.0568,0.80584,1.6199,1.1336,1.1557,1.1094,0.13629,1.2316,,,,,,,,,,0.21207,3.749,1,0.036982
,0.86727,16.9236,0.72338,1.4952,1.8665,2.3202,2.2461,1.2577,1.8665,1.781,1.3167,1.1574,0.25268,1.1989,,,,,,,,,,0.16099,9.2872,1,0.028455
,0.85421,15.2822,0.64018,1.3185,1.9928,1.4858,1.99,1.7558,1.6565,1.9928,1.2168,1.1113,0.22837,1.3343,,,,,,,,,,0.1756,7.5084,1,0.02942
,0.74647,12.9615,0.56755,1.4197,2.0574,1.7682,2.3734,1.6715,2.0574,1.2191,1.2239,1.2473,0.23923,1.3153,,,,,,,,,,0.18093,7.8468,1,0.030532
,0.83583,22.6968,0.62523,1.1361,1.8363,1.9393,1.9486,1.1607,1.8363,1.2628,1.1687,1.1097,0.19013,1.3368,,,,,,,,,,0.11569,9.8196,1,0.019365
,1.083,20.546,0.80073,1.4198,2.565,1.9244,2.5357,2.7264,2.565,2.2554,1.2414,1.1156,0.23603,1.3525,,,,,,,,,,0.1656,8.5738,1,0.027557
,0.74029,18.4518,0.59272,1.2488,1.8649,2.0676,2.6264,3.0049,1.8649,1.2976,1.2609,1.1208,0.21044,1.249,,,,,,,,,,0.12604,9.9078,1,0.021826
,0.61445,8.7165,0.46015,0.99019,1.5626,1.4619,2.0997,1.1623,1.5626,1.2927,1.2466,1.113,0.16495,1.3353,,,,,,,,,,0.22146,4.4712,1,0.037089
,0.4339,7.3581,0.34642,0.39091,1.7392,1.7792,2.1745,0.94109,1.7392,0.9983,1.0941,1.0539,0.065383,1.2525,,,,,,,,,,0.18526,2.1101,1,0.032035
,0.79756,11.9993,0.54491,1.1587,1.6915,1.995,2.2302,1.1591,1.6915,1.1594,1.1849,1.2675,0.19355,1.4636,,,,,,,,,,0.20881,5.5491,1,0.033403
,0.85584,14.2633,0.61485,1.195,1.5037,1.4967,2.0106,0.98723,1.5037,1.2599,1.2349,1.1266,0.19696,1.392,,,,,,,,,,0.1885,6.3394,1,0.030921
,0.76839,22.527,0.56588,1.0918,2.277,1.7642,2.4944,3.4425,2.277,1.232,1.1908,1.1013,0.18023,1.3579,,,,,,,,,,0.10716,10.1885,1,0.017797
,0.79692,14.1501,0.58783,0.98281,1.6708,1.9273,2.0536,1.1559,1.6708,1.2519,1.1778,1.086,0.16666,1.3557,,,,,,,,,,0.17693,5.5547,1,0.029408
,0.81248,10.1881,0.68772,1.1255,1.588,1.8001,2.1363,1.2593,1.588,1.3911,1.479,1.3207,0.19166,1.1814,,,,,,,,,,0.25054,4.4925,1,0.044608
,0.71978,19.0744,0.566,1.0413,2.5825,1.8786,2.13,1.9451,2.1513,2.5825,1.1479,1.098,0.17829,1.2717,,,,,,,,,,0.11855,8.7837,1,0.020345
,0.78682,14.6595,0.60403,1.0739,1.9073,1.446,1.9645,1.2227,1.4051,1.9073,0.82012,1.1078,0.18245,1.3026,,,,,,,,,,0.16862,6.369,1,0.028592
,0.68435,15.735,0.54864,0.9987,1.8178,1.5097,1.9772,1.3102,1.5467,1.8178,0.86881,1.1188,0.16725,1.2474,,,,,,,,,,0.13664,7.3092,1,0.023676
,0.92765,11.0937,0.61725,1.4176,2.1738,1.6101,2.0647,1.5617,1.4767,2.1738,0.90775,1.1211,0.2402,1.5029,,,,,,,,,,0.2627,5.3965,1,0.041471
,0.6886,14.4897,0.5334,0.81904,1.7472,1.8498,1.9931,1.2689,1.7472,1.5304,0.93632,1.0682,0.13716,1.291,,,,,,,,,,0.1493,5.4859,1,0.02543
,0.47347,8.0939,0.41965,0.43777,1.604,1.6549,2.157,1.2052,1.5737,1.604,0.95774,1.0532,0.0743,1.1283,,,,,,,,,,0.18377,2.3821,1,0.033483
,0.72294,11.6597,0.4852,1.3318,1.7859,1.5276,2.1316,1.638,1.6485,1.7859,1.1486,1.1123,0.22835,1.49,,,,,,,,,,0.19479,6.8371,1,0.030883
,0.69251,15.735,0.61386,1.1944,1.7328,1.9462,2.017,1.6094,1.7328,1.5184,1.2148,1.1376,0.20492,1.1281,,,,,,,,,,0.13826,8.6382,1,0.025193
,0.89943,12.1125,0.68834,1.4728,2.3598,1.6956,2.0822,2.4941,1.7551,2.3598,1.2401,1.1477,0.25558,1.3067,,,,,,,,,,0.23328,6.3131,1,0.039496
,0.692,13.2445,0.52526,1.0008,1.5864,1.5823,2.0281,1.218,1.5864,1.1465,1.2271,1.1026,0.17229,1.3174,,,,,,,,,,0.16414,6.0971,1,0.027676
,0.96726,35.149,0.7493,1.5445,1.6994,1.988,2.1093,1.3898,1.6994,1.1753,1.2758,1.172,0.26249,1.2909,,,,,,,,,,0.086454,17.8651,1,0.014726
,0.96016,8.6599,0.79474,1.8015,1.783,1.7076,1.9534,2.4352,1.7774,1.783,1.3291,1.1578,0.30567,1.2081,,,,,,,,,,0.34832,5.1718,1,0.061329
,0.72109,15.452,0.59001,1.3298,1.4894,1.4918,2.0377,1.1925,1.4894,1.0351,1.2155,1.1555,0.23013,1.2222,,,,,,,,,,0.14661,9.0704,1,0.025665
,0.82847,12.4521,0.61966,0.51846,1.5514,1.5405,1.9438,1.6492,1.5514,1.226,1.1713,1.074,0.08956,1.337,,,,,,,,,,0.20902,2.4805,1,0.034984
,0.83123,18.9046,0.67895,0.92041,2.319,1.5663,2.2748,2.5625,1.666,2.319,1.1531,1.0656,0.15621,1.2243,,,,,,,,,,0.13814,6.6631,1,0.024161
,0.66388,12.6219,0.50648,0.974,1.8506,1.5604,2.3161,0.86153,1.8506,1.0003,1.2551,1.0636,0.16647,1.3108,,,,,,,,,,0.16524,5.8944,1,0.027932
,0.9014,13.8105,0.69179,1.6682,1.596,1.5644,2.1157,1.2975,1.596,1.1385,1.2434,1.1078,0.28748,1.303,,,,,,,,,,0.20505,8.1355,1,0.034764
,0.65413,14.5463,0.52885,0.89862,1.7758,1.5415,1.9884,1.0016,1.7758,1.0162,1.2635,1.1139,0.15386,1.2369,,,,,,,,,,0.14127,6.3608,1,0.024583
,0.75741,17.433,0.59723,1.0314,1.9683,1.5823,1.9534,1.2768,1.9683,1.2161,1.1992,1.1198,0.17747,1.2682,,,,,,,,,,0.13649,7.5566,1,0.023456
,0.66762,9.1127,0.49277,1.0538,1.8999,1.5037,2.0806,1.0684,1.8999,1.061,1.2551,1.2499,0.181,1.3548,,,,,,,,,,0.23016,4.5786,1,0.038268
,0.76029,13.3011,0.64249,0.98202,1.744,1.7245,2.1729,1.2434,1.744,1.5761,1.207,1.1324,0.16822,1.1833,,,,,,,,,,0.17957,5.4687,1,0.031947
,0.66596,16.9236,0.54689,1.1372,1.9333,1.7454,2.0281,1.5139,1.9333,1.4359,1.2589,1.1285,0.19827,1.2177,,,,,,,,,,0.12363,9.1987,1,0.021681
,0.6281,11.5465,0.46837,0.9393,2.136,1.8528,1.7274,2.3223,2.0734,2.136,1.17,1.0662,0.16211,1.341,,,,,,,,,,0.17089,5.4964,1,0.02856
,0.87431,18.6216,0.6899,1.4982,1.9827,1.7434,2.0775,1.7844,1.9827,1.5413,1.1901,1.3441,0.25416,1.2673,,,,,,,,,,0.1475,10.1573,1,0.025357
,0.76227,13.1879,0.54846,0.92917,1.9731,1.6379,1.9374,1.5537,1.9731,1.3792,1.2193,1.098,0.15739,1.3898,,,,,,,,,,0.18158,5.117,1,0.029809
,0.62238,13.1879,0.46551,0.90563,1.9015,2.1064,2.0934,2.0342,1.9015,1.7601,1.1707,1.1117,0.15063,1.337,,,,,,,,,,0.14826,6.1083,1,0.024815
,0.73184,30.8473,0.56284,0.89088,2.3932,2.0656,2.0329,1.4137,2.3932,1.8058,1.2148,1.0889,0.15389,1.3003,,,,,,,,,,0.074533,11.9529,1,0.01265
,0.77955,13.0747,0.63383,1.0339,3.036,2.1939,2.5135,1.4407,3.036,1.8963,1.5647,1.1811,0.18044,1.2299,,,,,,,,,,0.18731,5.5195,1,0.032687
,1.0308,17.2066,0.89854,1.8259,2.677,1.7613,2.3225,2.4448,1.7408,2.677,1.3304,1.2519,0.32262,1.1472,,,,,,,,,,0.18821,9.7014,1,0.034007
,0.75776,13.8671,0.62794,0.90511,1.9063,1.4649,2.0838,1.1575,1.9063,1.5761,1.1856,1.098,0.15732,1.2067,,,,,,,,,,0.17167,5.2724,1,0.030244
,0.74775,17.8292,0.59154,0.9976,1.6581,1.444,2.1857,1.288,1.6581,1.0938,1.2343,1.0993,0.16913,1.2641,,,,,,,,,,0.13176,7.5715,1,0.02268
,0.719,7.6411,0.48842,1.1484,1.5308,1.5634,2.0711,1.2689,1.5308,1.3852,1.2486,1.1188,0.19602,1.4721,,,,,,,,,,0.29561,3.8849,1,0.047152
,0.65995,17.2066,0.49205,1.0045,1.5435,1.448,2.1873,1.3118,1.5435,1.0261,1.2012,1.0941,0.16946,1.3412,,,,,,,,,,0.12049,8.3369,1,0.020136
,0.66901,20.9988,0.53235,0.78177,2.0972,2.0079,1.8642,1.759,2.0972,1.6517,1.096,1.1032,0.1343,1.2567,,,,,,,,,,0.10009,7.8108,1,0.017279
,0.79562,11.1503,0.70223,0.93302,1.7297,1.995,1.9486,1.3198,1.7297,1.5164,1.183,1.1331,0.16837,1.133,,,,,,,,,,0.22416,4.1622,1,0.040757
,0.66879,18.4518,0.62929,0.84164,2.4982,2.0586,2.1459,2.0979,2.4982,1.4846,1.2317,1.2415,0.15178,1.0628,,,,,,,,,,0.11387,7.3914,1,0.021376
,0.7643,20.6026,0.64807,1.372,2.0208,1.6797,2.2986,2.7614,2.0208,1.9848,1.2544,1.1182,0.24581,1.1794,,,,,,,,,,0.11654,11.7723,1,0.020769
,0.64781,8.6599,0.5067,0.75501,1.4798,1.5325,2.0281,1.0541,1.4798,1.1733,1.1499,1.0864,0.13207,1.2785,,,,,,,,,,0.23501,3.2127,1,0.040224
,0.77788,16.1878,0.62165,1.2415,1.6724,1.7483,1.9502,1.0095,1.6724,1.4806,1.1869,1.1026,0.2156,1.2513,,,,,,,,,,0.15096,8.2236,1,0.026118
,0.82623,15.6784,0.63925,0.98247,1.9508,1.7971,2.087,1.3739,1.9508,1.6756,1.1661,1.1182,0.17181,1.2925,,,,,,,,,,0.16556,5.9343,1,0.028183
,0.90566,14.3199,0.7692,1.2214,2.3614,2.6126,2.243,2.9858,2.3614,2.2076,1.1161,1.1662,0.21331,1.1774,,,,,,,,,,0.19869,6.1473,1,0.035437
,0.84642,11.9993,0.7413,0.89018,2.2993,1.8667,2.6933,1.5378,2.2993,1.8506,1.1265,1.1496,0.15669,1.1418,,,,,,,,,,0.2216,4.017,1,0.040136
,0.75,11.7729,0.64028,1.2392,1.8442,1.5474,2.243,1.5442,1.8442,1.5672,1.2317,1.1136,0.22056,1.1714,,,,,,,,,,0.20014,6.1916,1,0.035787
,0.99251,13.6973,0.82297,1.5062,3.4239,1.7304,2.4434,3.923,1.6437,3.4239,1.2193,1.0902,0.26354,1.206,,,,,,,,,,0.22764,6.6165,1,0.040116
,0.63323,18.6782,0.51057,0.71755,1.491,1.5455,2.3337,0.76765,1.491,1.1793,1.246,1.1409,0.12529,1.2402,,,,,,,,,,0.10651,6.7372,1,0.018508
,0.61257,9.0561,0.45667,0.89511,1.5546,1.637,2.0759,1.0748,1.5546,1.1614,1.1778,1.0922,0.1551,1.3414,,,,,,,,,,0.2125,4.2123,1,0.035508
,0.6588,17.8292,0.52891,0.90783,1.5483,1.6419,2.1713,1.0095,1.5483,1.3136,1.135,1.0773,0.15553,1.2456,,,,,,,,,,0.11608,7.8204,1,0.02013
,0.66102,18.848,0.5363,1.0023,1.5833,1.7652,2.3575,0.96178,1.5833,1.1684,1.1376,1.135,0.17021,1.2325,,,,,,,,,,0.11018,9.0974,1,0.019206
,0.4966,12.0559,0.34503,0.35291,1.5196,1.4967,2.1793,1.2943,1.5196,1.2897,1.1311,1.0591,0.060546,1.4393,,,,,,,,,,0.12941,2.7271,1,0.020875
,0.67123,9.9617,0.5313,1.1337,1.5514,1.5216,2.2016,1.1639,1.5514,1.058,1.2505,1.1045,0.19583,1.2634,,,,,,,,,,0.21168,5.3557,1,0.036448
,0.77724,17.8292,0.68273,0.8702,1.9811,2.172,1.9931,2.4925,1.9811,1.8188,1.0986,1.0682,0.15114,1.1384,,,,,,,,,,0.13695,6.354,1,0.024841
,0.55662,12.5087,0.47543,0.60734,2.3697,3.4837,1.5333,2.3302,2.0463,2.3697,1.048,1.0679,0.1085,1.1708,,,,,,,,,,0.1398,4.3444,1,0.025004
,0.68771,8.9995,0.55002,0.99653,2.7433,1.633,2.1236,1.9722,2.7433,1.5164,1.1155,1.0692,0.18137,1.2503,,,,,,,,,,0.24007,4.151,1,0.04155
,0.94902,15.6784,0.85144,1.654,2.4911,2.2943,2.6455,3.8339,2.2993,2.4911,1.4972,2.1484,0.29906,1.1146,,,,,,,,,,0.19016,8.6979,1,0.034859
,0.75678,12.1125,0.73126,1.1379,1.6103,2.3232,2.3161,0.95382,1.6103,1.6,1.2181,1.1117,0.20396,1.0349,,,,,,,,,,0.19628,5.7973,1,0.037341
,0.47638,11.9993,0.39833,0.50358,1.5133,2.0407,2.13,0.94109,1.5133,1.2091,1.1317,1.0656,0.090929,1.1959,,,,,,,,,,0.12472,4.0376,1,0.022072
,0.64876,17.999,0.51723,0.9644,1.5212,1.9771,2.1745,1.1702,1.5212,1.2599,1.1596,1.0912,0.1751,1.2543,,,,,,,,,,0.11324,8.5166,1,0.019567
,0.79136,27.1117,0.77954,0.67792,1.7014,2.4614,2.3814,1.0986,1.6119,1.7014,1.1681,1.1678,0.12391,1.0152,,,,,,,,,,0.0917,7.3929,1,0.017613
,0.69151,10.5277,0.56607,1.1043,1.8426,1.814,2.235,1.9006,1.8426,1.3931,1.1772,1.0902,0.20375,1.2216,,,,,,,,,,0.20635,5.3516,1,0.036132
,0.87873,16.0746,0.79562,1.461,1.5769,2.0397,2.3384,1.5919,1.5769,1.5602,1.2856,1.137,0.25965,1.1045,,,,,,,,,,0.17174,8.5072,1,0.031625
,0.6337,8.3203,0.51912,0.82271,1.5578,1.7593,2.3384,1.0222,1.5578,1.1465,1.2064,1.11,0.14776,1.2207,,,,,,,,,,0.23927,3.4384,1,0.041912
,0.62652,17.6028,0.50756,0.76305,1.9652,2.6484,2.1682,1.3341,1.9652,1.8864,1.1609,1.0954,0.13536,1.2344,,,,,,,,,,0.11182,6.8242,1,0.019477
,0.72618,13.3577,0.64882,0.90628,1.7853,2.2734,1.9565,1.2084,1.7853,1.5304,1.1648,1.0977,0.1616,1.1192,,,,,,,,,,0.17079,5.3064,1,0.031243
,0.8103,10.7541,0.64091,0.98997,1.8474,2.4863,2.1141,1.4646,1.8474,1.5821,1.1103,1.0649,0.1784,1.2643,,,,,,,,,,0.23671,4.1821,1,0.040742
,0.4986,19.697,0.46415,0.66823,1.709,2.2158,2.1363,1.2164,1.709,1.3772,1.096,1.0906,0.11914,1.0742,,,,,,,,,,0.079525,8.4028,1,0.014849
,0.48586,7.9807,0.41938,0.44818,1.4957,1.6996,2.0393,1.0923,1.4957,1.046,1.1019,1.063,0.080822,1.1585,,,,,,,,,,0.19126,2.3433,1,0.034389
,0.48289,9.6787,0.36462,0.3986,1.5148,1.7414,2.1252,0.90927,1.5148,1.1614,1.0999,1.0617,0.07235,1.3244,,,,,,,,,,0.15674,2.5431,1,0.026359
,0.74865,10.9239,0.69268,1.1093,1.6024,1.9801,2.1666,1.2514,1.6024,1.5294,1.2206,1.1201,0.19713,1.0808,,,,,,,,,,0.2153,5.1525,1,0.040079
,0.70192,13.5275,0.6198,0.95783,1.6612,1.6917,2.1904,1.5076,1.6612,1.2658,1.2064,1.1087,0.17,1.1325,,,,,,,,,,0.16301,5.8759,1,0.029645
,0.79264,12.8483,0.62618,0.95118,1.5154,1.9363,1.9963,1.1686,1.491,1.5154,1.1875,1.1032,0.17248,1.2658,,,,,,,,,,0.19381,4.9078,1,0.033338
,0.67898,16.867,0.61358,1.003,1.6374,2.2615,2.2254,1.1941,1.6374,1.4359,1.1726,1.1013,0.17898,1.1066,,,,,,,,,,0.12646,7.9311,1,0.023266
,0.64122,8.6033,0.55743,0.98629,1.5085,2.1173,1.982,1.0827,1.5085,1.4259,1.1278,1.0779,0.17652,1.1503,,,,,,,,,,0.23415,4.2122,1,0.04225
,0.84605,13.3577,0.69696,1.0367,2.1102,1.9124,2.3973,2.6739,1.604,2.1102,1.0824,1.0679,0.18854,1.2139,,,,,,,,,,0.19898,5.2102,1,0.034951
,0.68347,9.1693,0.57788,0.84767,1.5085,1.7424,2.1507,0.90927,1.5085,1.4856,1.1148,1.0967,0.15366,1.1827,,,,,,,,,,0.23417,3.6199,1,0.041671
,0.63233,12.8483,0.61192,0.77864,1.5658,1.9761,2.3575,0.94586,1.5658,1.4677,1.0869,1.1,0.14146,1.0334,,,,,,,,,,0.15461,5.036,1,0.029435
,0.31466,11.0371,0.27335,0.20196,1.7153,2.1998,2.3655,0.90608,1.7153,1.2638,1.061,1.0519,0.036651,1.1511,,,,,,,,,,0.089564,2.2549,1,0.016155
,0.61409,12.3955,0.53627,0.90631,1.9461,2.4763,2.0711,1.2084,1.9461,1.5353,1.1044,1.0984,0.16825,1.1451,,,,,,,,,,0.15564,5.8232,1,0.028148
,0.63386,13.5841,0.59996,0.86074,1.5751,2.4037,2.2191,1.245,1.5276,1.5751,1.146,1.1217,0.15863,1.0565,,,,,,,,,,0.14659,5.8717,1,0.027601
,0.85854,15.5086,0.78712,1.6924,2.3773,1.7941,2.1936,3.207,2.3773,1.9848,1.2155,1.1175,0.313,1.0907,,,,,,,,,,0.17392,9.7311,1,0.032227
,0.61042,25.4703,0.55979,0.96981,2.4521,2.0029,2.2461,1.9881,2.4521,1.7939,1.1927,1.1156,0.17784,1.0904,,,,,,,,,,0.075291,12.8809,1,0.013954
,0.72471,12.2823,0.59017,1.0036,1.7328,1.7802,2.2636,1.7892,1.7328,1.587,1.1927,1.0967,0.18411,1.228,,,,,,,,,,0.18537,5.4141,1,0.032373
,0.80844,12.1691,0.6856,1.3883,2.8435,2.4823,2.5469,4.943,2.8435,2.6949,1.3219,1.148,0.25531,1.1792,,,,,,,,,,0.20871,6.6518,1,0.037196
,0.70169,14.9426,0.68264,0.84785,1.6278,1.5017,2.4721,0.94586,1.6278,1.2857,1.1908,1.1208,0.15499,1.0279,,,,,,,,,,0.14753,5.7472,1,0.02816
,0.62823,23.3194,0.58122,0.41594,1.604,1.5405,2.3973,0.84084,1.604,1.2002,1.1207,1.061,0.078659,1.0809,,,,,,,,,,0.084636,4.9145,1,0.015755
,0.68039,9.3391,0.65387,1.2721,1.8645,1.6807,2.5103,2.6691,1.596,1.8645,1.2875,1.1292,0.2394,1.0406,,,,,,,,,,0.22888,5.558,1,0.043423
,0.62409,19.8102,0.61019,0.91495,1.6294,1.5315,2.9304,1.3675,1.6294,1.3991,1.2044,1.101,0.16754,1.0228,,,,,,,,,,0.09897,9.2447,1,0.018939
,0.66438,11.2069,0.57731,0.4976,1.6358,1.4112,2.3973,1.0572,1.6358,1.1972,1.1843,1.0714,0.092263,1.1508,,,,,,,,,,0.18624,2.6718,1,0.033599
,0.61474,9.1127,0.48795,0.53488,1.6159,1.4669,2.3305,1.969,1.553,1.6159,1.1836,1.0769,0.098532,1.2598,,,,,,,,,,0.21193,2.5239,1,0.036541
,0.64223,8.6033,0.66738,0.93761,2.1768,1.8746,2.2143,0.89335,2.1768,1.587,1.2589,1.135,0.17068,0.96232,,,,,,,,,,0.23452,3.998,1,0.046266
,0.5265,14.2633,0.46167,0.40053,1.6819,1.7235,2.5182,0.8122,1.6819,1.0878,1.1557,1.0701,0.072951,1.1404,,,,,,,,,,0.11596,3.4539,1,0.021015
,0.69767,15.2256,0.62027,0.81628,1.7997,1.5216,2.1379,1.0254,1.7997,1.3613,1.2901,1.1902,0.15293,1.1248,,,,,,,,,,0.14395,5.6704,1,0.026269
,0.71301,12.1125,0.64581,1.1321,1.6421,1.5544,2.1984,1.1273,1.6421,1.3881,1.2434,1.1182,0.21131,1.1041,,,,,,,,,,0.18493,6.1218,1,0.034061
,0.6165,14.3765,0.62342,0.86097,1.997,1.6897,1.9374,1.4153,1.997,1.8824,1.281,1.3058,0.16,0.9889,,,,,,,,,,0.13472,6.3908,1,0.026218
,0.59437,8.6033,0.63584,0.91021,2.3614,1.9482,2.2477,1.4582,2.3614,1.6557,1.1155,1.0935,0.17098,0.93477,,,,,,,,,,0.21704,4.1938,1,0.043444
,0.68585,17.6028,0.59139,0.75058,1.954,1.7583,2.2891,1.0286,1.954,1.5284,1.1473,1.0912,0.13947,1.1597,,,,,,,,,,0.1224,6.1319,1,0.021997
,0.56555,12.8483,0.54165,0.8693,2.3486,2.0527,1.9693,1.2116,2.3486,1.3981,1.1376,1.0954,0.16328,1.0441,,,,,,,,,,0.13829,6.2863,1,0.026191
,0.7022,14.4331,0.63343,0.85938,2.1497,1.9363,2.2175,1.28,2.1497,1.7124,1.1583,1.0902,0.16046,1.1086,,,,,,,,,,0.15284,5.6226,1,0.028094
,0.75405,13.8105,0.7189,0.98041,2.8292,3.5872,1.9645,2.2697,2.2723,2.8292,1.1207,1.1591,0.18308,1.0489,,,,,,,,,,0.17153,5.7157,1,0.032413
,0.52508,10.5277,0.56869,0.60162,2.4831,2.5847,0.41943,1.8672,2.0129,2.4831,1.0512,1.0747,0.11269,0.92331,,,,,,,,,,0.15669,3.8396,1,0.031558
,0.55223,13.8671,0.46342,0.90154,1.814,2.2545,1.1052,1.6492,1.814,1.5214,1.1135,1.1065,0.16967,1.1916,,,,,,,,,,0.12511,7.2061,1,0.02218
,0.72019,11.5465,0.66993,1.2278,2.1243,1.2103,2.0838,1.3819,2.1243,1.6785,1.1836,1.1195,0.22918,1.075,,,,,,,,,,0.19595,6.266,1,0.036575
,0.59331,12.6785,0.56367,1.0696,1.8824,0.79858,1.7847,1.175,1.8824,1.8227,1.1376,1.1078,0.19683,1.0526,,,,,,,,,,0.14702,7.2755,1,0.027732
,0.6819,15.3954,0.58904,0.41609,1.9174,0.97461,1.947,1.4741,1.9174,1.4279,1.146,1.0692,0.076745,1.1576,,,,,,,,,,0.13915,2.9902,1,0.025029
